prototype_id,pollutant_id,weight,matching_basis,source
alginate,"2,6-Dichlorophenol",0.55,exploratory_no_source_evidence; mechanism_feature_bridge,bmdl_query
bile-salt-mixed-micelle-solubilization,"2,6-Dichlorophenol",0.55,exploratory_no_source_evidence; mechanism_feature_bridge,bmdl_query
bone-structure,"2,6-Dichlorophenol",0.55,exploratory_no_source_evidence; mechanism_feature_bridge,bmdl_query
cell-membrane-ion-channel,"2,6-Dichlorophenol",0.55,exploratory_no_source_evidence; mechanism_feature_bridge,bmdl_query
chitosan,"2,6-Dichlorophenol",0.55,exploratory_no_source_evidence; mechanism_feature_bridge,bmdl_query
chlorella-cell-wall,"2,6-Dichlorophenol",0.55,exploratory_no_source_evidence; mechanism_feature_bridge,bmdl_query
ddt-dehydrochlorinase-gst,"2,6-Dichlorophenol",0.55,exploratory_no_source_evidence; mechanism_feature_bridge,bmdl_query
decarboxylase-carbanion-activation,"2,6-Dichlorophenol",0.55,exploratory_no_source_evidence; mechanism_feature_bridge,bmdl_query
diatom-frustule,"2,6-Dichlorophenol",0.55,exploratory_no_source_evidence; mechanism_feature_bridge,bmdl_query
iron-oxidizing-bacteria,As(III),0.9,direct_pollutant_evidence,bmdl_query
chitosan,As(III),0.6,direct_pollutant_evidence,bmdl_query
silk-fibroin,As(III),0.7,direct_pollutant_evidence,bmdl_query
bone-structure,As(III),0.55,mechanism_feature_bridge,bmdl_query
chlorella-cell-wall,As(III),0.55,mechanism_feature_bridge,bmdl_query
hrp-laccase-phenol-radical-coupling,As(III),0.55,mechanism_feature_bridge,bmdl_query
mangrove-root,As(III),0.55,mechanism_feature_bridge,bmdl_query
mussel-foot-adhesion,As(III),0.55,mechanism_feature_bridge,bmdl_query
spider-silk,As(III),0.55,mechanism_feature_bridge,bmdl_query
sulfate-reducing-bacteria,As(III),0.55,mechanism_feature_bridge,bmdl_query
iron-oxidizing-bacteria,As(V),0.9,direct_pollutant_evidence,bmdl_query
chitosan,As(V),0.6,direct_pollutant_evidence,bmdl_query
bone-structure,As(V),0.55,mechanism_feature_bridge,bmdl_query
cell-membrane-ion-channel,As(V),0.55,mechanism_feature_bridge,bmdl_query
chlorella-cell-wall,As(V),0.55,mechanism_feature_bridge,bmdl_query
decarboxylase-carbanion-activation,As(V),0.55,mechanism_feature_bridge,bmdl_query
fish-scale-hydroxyapatite,As(V),0.55,mechanism_feature_bridge,bmdl_query
fluc-fluoride-export-channel,As(V),0.55,mechanism_feature_bridge,bmdl_query
hrp-laccase-phenol-radical-coupling,As(V),0.55,mechanism_feature_bridge,bmdl_query
lanmodulin-lanthanide-coordination,As(V),0.55,mechanism_feature_bridge,bmdl_query
errg-bpa-endocrine-receptor,BPA,0.8,exploratory_no_source_evidence; direct_pollutant_evidence,bmdl_query
p450bisd-bisphenol-monooxygenase,BPA,0.7,exploratory_no_source_evidence; direct_pollutant_evidence,bmdl_query
pxr-xenobiotic-receptor-promiscuity,BPA,0.5,exploratory_no_source_evidence; direct_pollutant_evidence,bmdl_query
hrp-laccase-phenol-radical-coupling,BPA,0.7,exploratory_no_source_evidence; direct_pollutant_evidence,bmdl_query
plant-lignocellulosic-architecture,BPA,0.6,direct_pollutant_evidence,bmdl_query
ugt-glucuronidation-glycosylation-regioselective,BPA,0.7,exploratory_no_source_evidence; direct_pollutant_evidence,bmdl_query
mammalian-lung-murray-law-branching,BPA,0.6,exploratory_no_source_evidence; direct_pollutant_evidence,bmdl_query
alginate,BPA,0.55,exploratory_no_source_evidence; mechanism_feature_bridge,bmdl_query
asbt-bile-acid-elevator-transporter,BPA,0.55,exploratory_no_source_evidence; mechanism_feature_bridge,bmdl_query
